COG	Gene.ID	Locus.Tag	Gene.Product.Name	Genome.ID	Genome.Name	Batch1	Start.Coord	End.Coord	Is.Partial.Gene	Scaffold.ID	Gene_Product	Cat
	8025828113	Ga0609718_13_63700_63787		8025822726	Paenibacillus sp. ClWae2A	1	63700	63787	NA	8025822738	NA	NA
	8025827923	Ga0609718_12_36935_37128		8025822726	Paenibacillus sp. ClWae2A	1	36935	37128	NA	8025822737	NA	NA
	8025828770	Ga0609718_19_18256_18471		8025822726	Paenibacillus sp. ClWae2A	1	18256	18471	NA	8025822744	NA	NA
	8025828633	Ga0609718_17_28720_28833		8025822726	Paenibacillus sp. ClWae2A	1	28720	28833	NA	8025822742	NA	NA
	8025823570	Ga0609718_01_1000829_1000982		8025822726	Paenibacillus sp. ClWae2A	1	1000829	1000982	NA	8025822726	NA	NA
	8025825872	Ga0609718_04_133487_133677		8025822726	Paenibacillus sp. ClWae2A	1	133487	133677	NA	8025822729	NA	NA
	8025826891	Ga0609718_07_105530_105705		8025822726	Paenibacillus sp. ClWae2A	1	105530	105705	NA	8025822732	NA	NA
	8025829054	Ga0609718_23_19251_19388		8025822726	Paenibacillus sp. ClWae2A	1	19251	19388	NA	8025822748	NA	NA
	8025827709	Ga0609718_10_172759_173011		8025822726	Paenibacillus sp. ClWae2A	1	172759	173011	NA	8025822735	NA	NA
	8025824450	Ga0609718_02_533290_533421		8025822726	Paenibacillus sp. ClWae2A	1	533290	533421	NA	8025822727	NA	NA
	8025827016	Ga0609718_07_232825_232934		8025822726	Paenibacillus sp. ClWae2A	1	232825	232934	NA	8025822732	NA	NA
	8025826978	Ga0609718_07_194291_194649		8025822726	Paenibacillus sp. ClWae2A	1	194291	194649	NA	8025822732	NA	NA
	8025823591	Ga0609718_01_1018867_1019062		8025822726	Paenibacillus sp. ClWae2A	1	1018867	1019062	NA	8025822726	NA	NA
	8025829006	Ga0609718_22_40818_40965		8025822726	Paenibacillus sp. ClWae2A	1	40818	40965	NA	8025822747	NA	NA
	8025823316	Ga0609718_01_729043_729140		8025822726	Paenibacillus sp. ClWae2A	1	729043	729140	NA	8025822726	NA	NA
	8025828078	Ga0609718_13_22827_22926		8025822726	Paenibacillus sp. ClWae2A	1	22827	22926	NA	8025822738	NA	NA
	8025826838	Ga0609718_07_55817_55965		8025822726	Paenibacillus sp. ClWae2A	1	55817	55965	NA	8025822732	NA	NA
	8025822837	Ga0609718_01_145178_145454		8025822726	Paenibacillus sp. ClWae2A	1	145178	145454	NA	8025822726	NA	NA
	8025823867	Ga0609718_01_1344686_1344845		8025822726	Paenibacillus sp. ClWae2A	1	1344686	1344845	NA	8025822726	NA	NA
	8025826200	Ga0609718_05_28148_28429		8025822726	Paenibacillus sp. ClWae2A	1	28148	28429	NA	8025822730	NA	NA
	8025823692	Ga0609718_01_1127686_1127914		8025822726	Paenibacillus sp. ClWae2A	1	1127686	1127914	NA	8025822726	NA	NA
	8025824856	Ga0609718_02_939048_939171		8025822726	Paenibacillus sp. ClWae2A	1	939048	939171	NA	8025822727	NA	NA
	8025826976	Ga0609718_07_193885_194223		8025822726	Paenibacillus sp. ClWae2A	1	193885	194223	NA	8025822732	NA	NA
	8025826767	Ga0609718_06_309569_309679		8025822726	Paenibacillus sp. ClWae2A	1	309569	309679	NA	8025822731	NA	NA
	8025828846	Ga0609718_20_15887_16140		8025822726	Paenibacillus sp. ClWae2A	1	15887	16140	NA	8025822745	NA	NA
	8025825983	Ga0609718_04_283736_283817		8025822726	Paenibacillus sp. ClWae2A	1	283736	283817	NA	8025822729	NA	NA
	8025826184	Ga0609718_05_11729_11813		8025822726	Paenibacillus sp. ClWae2A	1	11729	11813	NA	8025822730	NA	NA
	8025823170	Ga0609718_01_534717_534881		8025822726	Paenibacillus sp. ClWae2A	1	534717	534881	NA	8025822726	NA	NA
	8025826906	Ga0609718_07_115095_115390		8025822726	Paenibacillus sp. ClWae2A	1	115095	115390	NA	8025822732	NA	NA
	8025822799	Ga0609718_01_89387_89497		8025822726	Paenibacillus sp. ClWae2A	1	89387	89497	NA	8025822726	NA	NA
	8025824128	Ga0609718_02_178339_178514		8025822726	Paenibacillus sp. ClWae2A	1	178339	178514	NA	8025822727	NA	NA
	8025826412	Ga0609718_05_276876_277017		8025822726	Paenibacillus sp. ClWae2A	1	276876	277017	NA	8025822730	NA	NA
	8025829118	Ga0609718_24_25781_25883		8025822726	Paenibacillus sp. ClWae2A	1	25781	25883	NA	8025822749	NA	NA
	8025825530	Ga0609718_03_539882_540151		8025822726	Paenibacillus sp. ClWae2A	1	539882	540151	NA	8025822728	NA	NA
	8025828220	Ga0609718_13_176846_176970		8025822726	Paenibacillus sp. ClWae2A	1	176846	176970	NA	8025822738	NA	NA
	8025823938	Ga0609718_01_1406049_1406279		8025822726	Paenibacillus sp. ClWae2A	1	1406049	1406279	NA	8025822726	NA	NA
	8025828666	Ga0609718_17_63616_63928		8025822726	Paenibacillus sp. ClWae2A	1	63616	63928	NA	8025822742	NA	NA
	8025825390	Ga0609718_03_384282_384446		8025822726	Paenibacillus sp. ClWae2A	1	384282	384446	NA	8025822728	NA	NA
	8025824336	Ga0609718_02_385707_385801		8025822726	Paenibacillus sp. ClWae2A	1	385707	385801	NA	8025822727	NA	NA
	8025825083	Ga0609718_03_65972_66138		8025822726	Paenibacillus sp. ClWae2A	1	65972	66138	NA	8025822728	NA	NA
	8025826771	Ga0609718_06_313095_313197		8025822726	Paenibacillus sp. ClWae2A	1	313095	313197	NA	8025822731	NA	NA
	8025828688	Ga0609718_17_87777_87876		8025822726	Paenibacillus sp. ClWae2A	1	87777	87876	NA	8025822742	NA	NA
	8025828252	Ga0609718_14_28980_29092		8025822726	Paenibacillus sp. ClWae2A	1	28980	29092	NA	8025822739	NA	NA
	8025823843	Ga0609718_01_1320472_1320686		8025822726	Paenibacillus sp. ClWae2A	1	1320472	1320686	NA	8025822726	NA	NA
	8025825403	Ga0609718_03_399384_399676		8025822726	Paenibacillus sp. ClWae2A	1	399384	399676	NA	8025822728	NA	NA
	8025827187	Ga0609718_08_94007_94129		8025822726	Paenibacillus sp. ClWae2A	1	94007	94129	NA	8025822733	NA	NA
	8025822957	Ga0609718_01_289107_289207		8025822726	Paenibacillus sp. ClWae2A	1	289107	289207	NA	8025822726	NA	NA
	8025827569	Ga0609718_10_8248_8349		8025822726	Paenibacillus sp. ClWae2A	1	8248	8349	NA	8025822735	NA	NA
	8025823627	Ga0609718_01_1060537_1060646		8025822726	Paenibacillus sp. ClWae2A	1	1060537	1060646	NA	8025822726	NA	NA
	8025824983	Ga0609718_02_1069959_1070040		8025822726	Paenibacillus sp. ClWae2A	1	1069959	1070040	NA	8025822727	NA	NA
	8025829104	Ga0609718_24_10957_11176		8025822726	Paenibacillus sp. ClWae2A	1	10957	11176	NA	8025822749	NA	NA
	8025823663	Ga0609718_01_1094781_1095194	hypothetical protein	8025822726	Paenibacillus sp. ClWae2A	1	1094781	1095194	NA	8025822726	NA	NA
	8025823562	Ga0609718_01_989397_990605	hypothetical protein	8025822726	Paenibacillus sp. ClWae2A	1	989397	990605	NA	8025822726	NA	NA
	8025828405	Ga0609718_15_8932_9951	hypothetical protein	8025822726	Paenibacillus sp. ClWae2A	1	8932	9951	NA	8025822740	NA	NA
	8025824059	Ga0609718_02_127141_127500	hypothetical protein	8025822726	Paenibacillus sp. ClWae2A	1	127141	127500	NA	8025822727	NA	NA
	8025827800	Ga0609718_11_70401_70568	CxxH/CxxC protein (TIGR04129 family)	8025822726	Paenibacillus sp. ClWae2A	1	70401	70568	NA	8025822736	NA	NA
	8025825326	Ga0609718_03_328270_328824	hypothetical protein	8025822726	Paenibacillus sp. ClWae2A	1	328270	328824	NA	8025822728	NA	NA
	8025828494	Ga0609718_16_513_764	hypothetical protein	8025822726	Paenibacillus sp. ClWae2A	1	513	764	NA	8025822741	NA	NA
	8025827442	Ga0609718_09_97594_97839	hypothetical protein	8025822726	Paenibacillus sp. ClWae2A	1	97594	97839	NA	8025822734	NA	NA
	8025825600	Ga0609718_03_611295_613349	hypothetical protein	8025822726	Paenibacillus sp. ClWae2A	1	611295	613349	NA	8025822728	NA	NA
	8025828830	Ga0609718_20_1406_1930	hypothetical protein	8025822726	Paenibacillus sp. ClWae2A	1	1406	1930	NA	8025822745	NA	NA
	8025825012	Ga0609718_02_1093448_1094287	hypothetical protein	8025822726	Paenibacillus sp. ClWae2A	1	1093448	1094287	NA	8025822727	NA	NA
	8025824681	Ga0609718_02_769536_770432	hypothetical protein	8025822726	Paenibacillus sp. ClWae2A	1	769536	770432	NA	8025822727	NA	NA
	8025823001	Ga0609718_01_335306_336004	hypothetical protein	8025822726	Paenibacillus sp. ClWae2A	1	335306	336004	NA	8025822726	NA	NA
	8025826157	Ga0609718_04_458944_460839	hypothetical protein	8025822726	Paenibacillus sp. ClWae2A	1	458944	460839	NA	8025822729	NA	NA
	8025822841	Ga0609718_01_148465_148941	hypothetical protein	8025822726	Paenibacillus sp. ClWae2A	1	148465	148941	NA	8025822726	NA	NA
	8025824127	Ga0609718_02_178128_178418	hypothetical protein	8025822726	Paenibacillus sp. ClWae2A	1	178128	178418	NA	8025822727	NA	NA
	8025826171	Ga0609718_05_1_71	16S ribosomal RNA	8025822726	Paenibacillus sp. ClWae2A	1	1	71	NA	8025822730	NA	NA
	8025826169	Ga0609718_04_480299_480507	16S ribosomal RNA	8025822726	Paenibacillus sp. ClWae2A	1	480299	480507	NA	8025822729	NA	NA
	8025827047	Ga0609718_07_274091_276076	hypothetical protein	8025822726	Paenibacillus sp. ClWae2A	1	274091	276076	NA	8025822732	NA	NA
	8025828932	Ga0609718_21_44554_44925	hypothetical protein	8025822726	Paenibacillus sp. ClWae2A	1	44554	44925	NA	8025822746	NA	NA
	8025829158	Ga0609718_25_12276_13115	hypothetical protein	8025822726	Paenibacillus sp. ClWae2A	1	12276	13115	NA	8025822750	NA	NA
	8025827892	Ga0609718_11_184176_185588	hypothetical protein	8025822726	Paenibacillus sp. ClWae2A	1	184176	185588	NA	8025822736	NA	NA
	8025827954	Ga0609718_12_76975_77151	hypothetical protein	8025822726	Paenibacillus sp. ClWae2A	1	76975	77151	NA	8025822737	NA	NA
	8025823677	Ga0609718_01_1109806_1110591	16S rRNA (guanine1516-N2)-methyltransferase	8025822726	Paenibacillus sp. ClWae2A	1	1109806	1110591	NA	8025822726	NA	NA
	8025825796	Ga0609718_04_49525_50157	hypothetical protein	8025822726	Paenibacillus sp. ClWae2A	1	49525	50157	NA	8025822729	NA	NA
	8025823011	Ga0609718_01_345312_345710	hypothetical protein	8025822726	Paenibacillus sp. ClWae2A	1	345312	345710	NA	8025822726	NA	NA
	8025826018	Ga0609718_04_326656_326928	hypothetical protein	8025822726	Paenibacillus sp. ClWae2A	1	326656	326928	NA	8025822729	NA	NA
	8025826956	Ga0609718_07_173748_174017	hypothetical protein	8025822726	Paenibacillus sp. ClWae2A	1	173748	174017	NA	8025822732	NA	NA
	8025827731	Ga0609718_10_202937_203077	hypothetical protein	8025822726	Paenibacillus sp. ClWae2A	1	202937	203077	NA	8025822735	NA	NA
	8025826170	Ga0609718_04_480397_480507	hypothetical protein	8025822726	Paenibacillus sp. ClWae2A	1	480397	480507	NA	8025822729	NA	NA
	8025823690	Ga0609718_01_1125869_1126147	hypothetical protein	8025822726	Paenibacillus sp. ClWae2A	1	1125869	1126147	NA	8025822726	NA	NA
	8025828608	Ga0609718_17_3538_3924	hypothetical protein	8025822726	Paenibacillus sp. ClWae2A	1	3538	3924	NA	8025822742	NA	NA
	8025826273	Ga0609718_05_118519_118878	hypothetical protein	8025822726	Paenibacillus sp. ClWae2A	1	118519	118878	NA	8025822730	NA	NA
	8025826712	Ga0609718_06_236200_236937	hypothetical protein	8025822726	Paenibacillus sp. ClWae2A	1	236200	236937	NA	8025822731	NA	NA
	8025825232	Ga0609718_03_216866_217540	hypothetical protein	8025822726	Paenibacillus sp. ClWae2A	1	216866	217540	NA	8025822728	NA	NA
	8025824985	Ga0609718_02_1070646_1071170	hypothetical protein	8025822726	Paenibacillus sp. ClWae2A	1	1070646	1071170	NA	8025822727	NA	NA
	8025823637	Ga0609718_01_1070398_1071417	hypothetical protein	8025822726	Paenibacillus sp. ClWae2A	1	1070398	1071417	NA	8025822726	NA	NA
	8025827788	Ga0609718_11_57132_57941	hypothetical protein	8025822726	Paenibacillus sp. ClWae2A	1	57132	57941	NA	8025822736	NA	NA
	8025827724	Ga0609718_10_195814_195969	hypothetical protein	8025822726	Paenibacillus sp. ClWae2A	1	195814	195969	NA	8025822735	NA	NA
	8025824695	Ga0609718_02_778954_779457	hypothetical protein	8025822726	Paenibacillus sp. ClWae2A	1	778954	779457	NA	8025822727	NA	NA
	8025826070	Ga0609718_04_368854_369243	hypothetical protein	8025822726	Paenibacillus sp. ClWae2A	1	368854	369243	NA	8025822729	NA	NA
	8025824673	Ga0609718_02_764915_765124	hypothetical protein	8025822726	Paenibacillus sp. ClWae2A	1	764915	765124	NA	8025822727	NA	NA
	8025823028	Ga0609718_01_358984_360237	hypothetical protein	8025822726	Paenibacillus sp. ClWae2A	1	358984	360237	NA	8025822726	NA	NA
	8025826321	Ga0609718_05_172298_173428	hypothetical protein	8025822726	Paenibacillus sp. ClWae2A	1	172298	173428	NA	8025822730	NA	NA
	8025825590	Ga0609718_03_598757_601408	hypothetical protein	8025822726	Paenibacillus sp. ClWae2A	1	598757	601408	NA	8025822728	NA	NA
	8025823111	Ga0609718_01_460616_461899	hypothetical protein	8025822726	Paenibacillus sp. ClWae2A	1	460616	461899	NA	8025822726	NA	NA
	8025825060	Ga0609718_03_46161_46811	hypothetical protein	8025822726	Paenibacillus sp. ClWae2A	1	46161	46811	NA	8025822728	NA	NA
	8025823328	Ga0609718_01_744188_745303	hypothetical protein	8025822726	Paenibacillus sp. ClWae2A	1	744188	745303	NA	8025822726	NA	NA
	8025826118	Ga0609718_04_408748_409116	hypothetical protein	8025822726	Paenibacillus sp. ClWae2A	1	408748	409116	NA	8025822729	NA	NA
	8025824703	Ga0609718_02_781640_782302	hypothetical protein	8025822726	Paenibacillus sp. ClWae2A	1	781640	782302	NA	8025822727	NA	NA
	8025824774	Ga0609718_02_837908_841360	hypothetical protein	8025822726	Paenibacillus sp. ClWae2A	1	837908	841360	NA	8025822727	NA	NA
	8025827136	Ga0609718_08_36418_36588	hypothetical protein	8025822726	Paenibacillus sp. ClWae2A	1	36418	36588	NA	8025822733	NA	NA
	8025823661	Ga0609718_01_1093515_1093772	hypothetical protein	8025822726	Paenibacillus sp. ClWae2A	1	1093515	1093772	NA	8025822726	NA	NA
	8025824689	Ga0609718_02_775538_776146	hypothetical protein	8025822726	Paenibacillus sp. ClWae2A	1	775538	776146	NA	8025822727	NA	NA
	8025829107	Ga0609718_24_13634_14812	hypothetical protein	8025822726	Paenibacillus sp. ClWae2A	1	13634	14812	NA	8025822749	NA	NA
	8025826668	Ga0609718_06_181962_182450	hypothetical protein	8025822726	Paenibacillus sp. ClWae2A	1	181962	182450	NA	8025822731	NA	NA
	8025827350	Ga0609718_08_300267_302162	hypothetical protein	8025822726	Paenibacillus sp. ClWae2A	1	300267	302162	NA	8025822733	NA	NA
	2719358794	Ga0176052_122010	cytochrome c oxidase subunit 2	2718217922	Paenibacillus xylanexedens PAMC 22703	2	2132390	2132782	NA	2718228226	NA	NA
	8025822906	Ga0609718_01_238545_238928	hypothetical protein	8025822726	Paenibacillus sp. ClWae2A	1	238545	238928	NA	8025822726	NA	NA
	8025825191	Ga0609718_03_177597_178634	hypothetical protein	8025822726	Paenibacillus sp. ClWae2A	1	177597	178634	NA	8025822728	NA	NA
	8025826035	Ga0609718_04_347318_347536	hypothetical protein	8025822726	Paenibacillus sp. ClWae2A	1	347318	347536	NA	8025822729	NA	NA
	8025827050	Ga0609718_07_276871_277329	hypothetical protein	8025822726	Paenibacillus sp. ClWae2A	1	276871	277329	NA	8025822732	NA	NA
	8025824672	Ga0609718_02_763590_764915	hypothetical protein	8025822726	Paenibacillus sp. ClWae2A	1	763590	764915	NA	8025822727	NA	NA
	8025825103	Ga0609718_03_84355_84489	hypothetical protein	8025822726	Paenibacillus sp. ClWae2A	1	84355	84489	NA	8025822728	NA	NA
	8025824541	Ga0609718_02_618233_618418	hypothetical protein	8025822726	Paenibacillus sp. ClWae2A	1	618233	618418	NA	8025822727	NA	NA
	8025828523	Ga0609718_16_19941_20273	hypothetical protein	8025822726	Paenibacillus sp. ClWae2A	1	19941	20273	NA	8025822741	NA	NA
	8025825970	Ga0609718_04_269593_270198	hypothetical protein	8025822726	Paenibacillus sp. ClWae2A	1	269593	270198	NA	8025822729	NA	NA
	8025824791	Ga0609718_02_862401_863597	hypothetical protein	8025822726	Paenibacillus sp. ClWae2A	1	862401	863597	NA	8025822727	NA	NA
	8025824129	Ga0609718_02_178629_179069	hypothetical protein	8025822726	Paenibacillus sp. ClWae2A	1	178629	179069	NA	8025822727	NA	NA
	8025828826	Ga0609718_19_71484_71864	hypothetical protein	8025822726	Paenibacillus sp. ClWae2A	1	71484	71864	NA	8025822744	NA	NA
	8025825197	Ga0609718_03_185635_187011	hypothetical protein	8025822726	Paenibacillus sp. ClWae2A	1	185635	187011	NA	8025822728	NA	NA
	8025828812	Ga0609718_19_59784_60029	hypothetical protein	8025822726	Paenibacillus sp. ClWae2A	1	59784	60029	NA	8025822744	NA	NA
	8025823631	Ga0609718_01_1063929_1064327	hypothetical protein	8025822726	Paenibacillus sp. ClWae2A	1	1063929	1064327	NA	8025822726	NA	NA
	8025824140	Ga0609718_02_186739_187038	hypothetical protein	8025822726	Paenibacillus sp. ClWae2A	1	186739	187038	NA	8025822727	NA	NA
	8025826027	Ga0609718_04_340994_341194	hypothetical protein	8025822726	Paenibacillus sp. ClWae2A	1	340994	341194	NA	8025822729	NA	NA
	8025825588	Ga0609718_03_597278_597916	hypothetical protein	8025822726	Paenibacillus sp. ClWae2A	1	597278	597916	NA	8025822728	NA	NA
